op,gas_costs,Bsize,Esize,Msize,B,E,M,tx_hash,tx_index,block_number,eip2565_cost,eip7883_cost,cost_increase,cost_ratio,from_address,to_address,value,gas_used,gas_price,transaction_type,eth_cost_current,eth_cost_eip7883,eth_cost_increase
STATICCALL,1360,32,32,32,0xb90c8097aa9f12c6bd19556d1bfd8d2f4458e8760333cb3854a7a4354e76b938,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffff,0xddb25c8316a3d0ba86399c25a2aa5276af1ba68d3a63dfe33d6b5ec24f62b35c,40,22581020,1360,1360,0,1.0,0x106b67c3f6d4fff429668b0496d2e4cda55e805b,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,445015.0,4417577899.0,2.0,6.00790594264e-06,6.00790594264e-06,0.0
STATICCALL,1360,32,32,32,0x2b1f9896a272c853e41dbf7d5d3813f6dbd7d454b6bc70c718d929c6aebdc68a,0xffffffff00000000ffffffffffffffffbce6faada7179e84f3b9cac2fc63254f,0xffffffff00000000ffffffff,0x45d218e38e0c513739e817fa3372eeeb4126f3248066da7dd71f60aac424afaf,118,22581020,1360,1360,0,1.0,0x4337002c5702ce424cb62a56ca038e31e1d4a93d,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,434208.0,3267577899.0,2.0,4.44390594264e-06,4.44390594264e-06,0.0
STATICCALL,1360,32,32,32,0x6146cb47dec15a9306bcb4f7ee815bbe4755f970c55348191adbeb781a16b682,0xffffffff00000001000000000000000000000000fffffffffffffffffffffffd,0xffffffff0000000100000000,0x45d218e38e0c513739e817fa3372eeeb4126f3248066da7dd71f60aac424afaf,118,22581020,1360,1360,0,1.0,0x4337002c5702ce424cb62a56ca038e31e1d4a93d,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0.0,434208.0,3267577899.0,2.0,4.44390594264e-06,4.44390594264e-06,0.0
STATICCALL,200,32,32,32,0x5ec467b88826aba4537602d514425f3b0bdf467bbf302458337c45f6021e539,0xf,0x800000000000011000000000000000000000000000000000000000000000001,0x12508f137f154c1d8745b576f319091cc54573748da89a5c77d0de4bdd167292,92,22581007,200,500,300,2.5,0xfe325f97146124f3767bfa59899fa4177fd46d2f,0x30efaaa99f8efe310d9fdc83072e2a04c093d400,0.0,258170.0,3013698366.0,2.0,6.027396732e-07,1.506849183e-06,9.041095097999999e-07
STATICCALL,200,32,32,32,0x5ec467b88826aba4537602d514425f3b0bdf467bbf302458337c45f6021e539,0xf,0x800000000000011000000000000000000000000000000000000000000000001,0x2e86a23727ad6aeed502486b0a071154266141e6f74e107d49aa920e71fa6270,102,22581007,200,500,300,2.5,0xfe325f97146124f3767bfa59899fa4177fd46d2f,0x30efaaa99f8efe310d9fdc83072e2a04c093d400,0.0,181880.0,3013698366.0,2.0,6.027396732e-07,1.506849183e-06,9.041095097999999e-07
STATICCALL,200,32,32,32,0x5ec467b88826aba4537602d514425f3b0bdf467bbf302458337c45f6021e539,0xf,0x800000000000011000000000000000000000000000000000000000000000001,0x7ece131d0abe2f04ca8b800062d85021ddef4e87870dbe2b4bd8d20ee2eae3f7,117,22581006,200,500,300,2.5,0xfe325f97146124f3767bfa59899fa4177fd46d2f,0x30efaaa99f8efe310d9fdc83072e2a04c093d400,0.0,319340.0,2875339189.0,2.0,5.750678378e-07,1.4376695945e-06,8.626017567e-07
STATICCALL,200,32,32,32,0x5ec467b88826aba4537602d514425f3b0bdf467bbf302458337c45f6021e539,0xf,0x800000000000011000000000000000000000000000000000000000000000001,0xd151ff654eae5175912ea38d066c4575c2be8dbf2c5ad388d3ebf6ee3066fa52,121,22581006,200,500,300,2.5,0xfe325f97146124f3767bfa59899fa4177fd46d2f,0x30efaaa99f8efe310d9fdc83072e2a04c093d400,0.0,289250.0,2875339189.0,2.0,5.750678378e-07,1.4376695945e-06,8.626017567e-07
STATICCALL,1338,32,32,32,0x21d4f2d102a14f983ad3272c2c277e7d90bd537b1643352e9a2fc1695d4a2176,0xc19139cb84c680a6e14116da060561765e05aa45a1c72a34f082305b61f3f52,0x30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd47,0xe7457678fc64975419cebf0d0bd5c44cda3beaf9107a01cb14387a9735c9ac15,208,22581006,1338,1338,0,1.0,0x454ef2f69f91527856e06659f92a66f464c1ca4e,0x870679e138bcdf293b7ff14dd44b70fc97e12fc0,0.0,283905.0,2775920597.0,2.0,3.714181758786e-06,3.714181758786e-06,0.0
STATICCALL,200,32,32,32,0x5ec467b88826aba4537602d514425f3b0bdf467bbf302458337c45f6021e539,0xf,0x800000000000011000000000000000000000000000000000000000000000001,0xff812752321a1faeb7cdf0a5006ab4e55355483a8fae814570b97f3d4980fcbe,119,22581005,200,500,300,2.5,0xfe325f97146124f3767bfa59899fa4177fd46d2f,0x30efaaa99f8efe310d9fdc83072e2a04c093d400,0.0,380330.0,2784826365.0,2.0,5.56965273e-07,1.3924131825e-06,8.354479094999999e-07
STATICCALL,200,32,32,32,0x5ec467b88826aba4537602d514425f3b0bdf467bbf302458337c45f6021e539,0xf,0x800000000000011000000000000000000000000000000000000000000000001,0xf7a5bcd111cd77a66abb09be90633f03c646c6da1de7355a19d23776ac07fc8f,120,22581005,200,500,300,2.5,0xfe325f97146124f3767bfa59899fa4177fd46d2f,0x30efaaa99f8efe310d9fdc83072e2a04c093d400,0.0,349730.0,2784826365.0,2.0,5.56965273e-07,1.3924131825e-06,8.354479094999999e-07
