from_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_contracts,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0x2bc3ae0a4f2d91471c3484996d2d690348f91a59,300,300.0,1,,200,200.0,500,500.0,1,1,22145470,22145470,1,32.0,32,32.0,32,32.0,32,2.5,0,1.0
0x38d26f67e3b15ccef9544cf960211f718915487b,300,300.0,1,,200,200.0,500,500.0,1,1,22324773,22324773,1,128.0,128,1.0,1,128.0,128,2.5,0,1.0
0x6300cfda24b465e63871672558957be137fdb7df,300,300.0,1,,200,200.0,500,500.0,1,1,22123916,22123916,1,128.0,128,1.0,1,128.0,128,2.5,0,1.0
0x0eae98ccfeed226f7f8cbe647612f7795d638e3b,300,300.0,1,,200,200.0,500,500.0,1,1,22496358,22496358,1,128.0,128,1.0,1,128.0,128,2.5,0,1.0
0x4d175a2bd7c081c18ef2e32a30dfef228241f152,300,300.0,1,,200,200.0,500,500.0,1,1,22521875,22521875,1,32.0,32,32.0,32,32.0,32,2.5,0,1.0
0x7b9bae375447aa3905bd6b90ed588195404e3f6e,300,300.0,1,,200,200.0,500,500.0,1,1,22495693,22495693,1,128.0,128,1.0,1,128.0,128,2.5,0,1.0
0xeae902641749fa54d9d0f90932033e8ca47c966a,300,300.0,1,,200,200.0,500,500.0,1,1,22146784,22146784,1,128.0,128,1.0,1,128.0,128,2.5,0,1.0
0x7d0ee670819225d8718631019e43836a0f91e64b,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22481296,22481296,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0xa6ef088b806ad009dac53f4b9b65e08cce12e01d,0,0.0,57,0.0,77520,1360.0,77520,1360.0,1,19,22223047,22524235,19,32.0,32,32.0,32,32.0,32,1.0,301188,0.00018924993940681764
0x7f078b628f788d0941366b94c1fd3a64351a3a91,0,0.0,51,0.0,69360,1360.0,69360,1360.0,1,17,22228338,22254618,17,32.0,32,32.0,32,32.0,32,1.0,26280,0.0019405654274951487
0xa58428fd982447bdef7c8b6db6e9beb964b56147,0,0.0,311,0.0,419539,1349.0,419539,1349.0,1,158,22253530,22579777,98,32.0,32,32.0,32,32.0,32,1.0,326247,0.0009532625487359309
0x80213f829c8543eda6b1f0f303e94b8e504b53d8,0,0.0,12,0.0,16320,1360.0,16320,1360.0,1,4,22146580,22493749,4,32.0,32,32.0,32,32.0,32,1.0,347169,3.456519860587032e-05
0x8b2efb5293326e1766cb5d0855032f150a72b705,0,0.0,9,0.0,12240,1360.0,12240,1360.0,1,3,22222943,22224228,3,32.0,32,32.0,32,32.0,32,1.0,1285,0.006998444790046656
0x8dc6004dcbfdceeff98f16e7d58b0fde5fab1412,0,0.0,57,0.0,77520,1360.0,77520,1360.0,1,19,22323701,22524174,19,32.0,32,32.0,32,32.0,32,1.0,200473,0.0002843261470315353
0x8e86251c88e5b3ef134a37bcab2cd63beb627c4c,0,0.0,96,0.0,130560,1360.0,130560,1360.0,1,32,22223361,22522368,32,32.0,32,32.0,32,32.0,32,1.0,299007,0.0003210616438356164
0x8f47a238c7701247ee8469ddc37ac1df121cfcce,0,0.0,93,0.0,126480,1360.0,126480,1360.0,1,31,22193412,22581003,31,32.0,32,32.0,32,32.0,32,1.0,387591,0.0002399430328799356
0x9efc041667e63de659b6150a6a8346028c33edad,0,0.0,11,0.0,14960,1360.0,14960,1360.0,1,4,22481310,22482077,4,32.0,32,32.0,32,32.0,32,1.0,767,0.014322916666666666
0x912db254b148125c2f5aba7b6716b5020640f5e3,0,0.0,66,0.0,89760,1360.0,89760,1360.0,1,21,22193765,22425513,21,32.0,32,32.0,32,32.0,32,1.0,231748,0.0002847908728840254
0x9b1a331b4ac667fd97674ceedd861008488a3e40,0,0.0,72,0.0,97920,1360.0,97920,1360.0,1,24,22194445,22417000,24,32.0,32,32.0,32,32.0,32,1.0,222555,0.0003235140818490627
0x7c088b4c6dceae8889e1fcc8c52de8cb930f89a0,0,0.0,105,0.0,142800,1360.0,142800,1360.0,1,35,22194009,22425373,35,32.0,32,32.0,32,32.0,32,1.0,231364,0.0004538283664339896
0xf279dfcdd57e1571c95e2c5b7e2ee453cbcdf77f,0,0.0,96,0.0,130560,1360.0,130560,1360.0,1,32,22324594,22501294,32,32.0,32,32.0,32,32.0,32,1.0,176700,0.0005432906435164487
